Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Source_Sheet,Source_DB
Cardiac muscle contraction,1/87,4.6833951764574382E-2,4.6833951764574382E-2,0,0,23.143023255813954,70.844193295048214,UQCR10,Gluconeogenesis,kegg
Fatty acid biosynthesis,6/18,5.8416400618889386E-18,5.8416400618889388E-17,0,0,4995,198209.19281939781,OLAH;FASN;MCAT;ACACB;ACACA;CBR4,Gluconeogenesis,kegg
AMPK signaling pathway,3/120,1.153988610253748E-5,5.7236846896685334E-5,0,0,101.92307692307692,1158.8349266090672,FASN;ACACB;ACACA,Gluconeogenesis,kegg
Insulin signaling pathway,3/137,1.7171054069005599E-5,5.7236846896685334E-5,0,0,88.916417910447763,975.61632248674584,FASN;ACACB;ACACA,Gluconeogenesis,kegg
Fatty acid elongation,2/27,4.8894965278531189E-5,1.2223741319632799E-4,0,0,266.22666666666669,2642.5222657906538,PPT1;PPT2,Gluconeogenesis,kegg
Propanoate metabolism,2/34,7.8039306520185809E-5,1.5607861304037162E-4,0,0,207.91666666666666,1966.537777625364,ACACB;ACACA,Gluconeogenesis,kegg
Pyruvate metabolism,2/47,1.4998531968970716E-4,2.4997553281617859E-4,0,0,147.75555555555556,1300.9836975672104,ACACB;ACACA,Gluconeogenesis,kegg
Glucagon signaling pathway,2/107,7.7744677773607541E-4,1.1106382539086792E-3,0,0,63.133333333333333,452.0028076501448,ACACB;ACACA,Gluconeogenesis,kegg
Lysosome,2/128,1.1096058245021485E-3,1.3870072806276856E-3,0,0,52.555555555555557,357.57488422434,PPT1;PPT2,Gluconeogenesis,kegg
Adipocytokine signaling pathway,1/69,2.7273557473830964E-2,3.0303952748701072E-2,0,0,41.857142857142854,150.7626325151401,ACACB,Gluconeogenesis,kegg
Insulin resistance,1/108,4.2399339108608228E-2,4.2399339108608228E-2,0,0,26.548731642189587,83.910518679018736,ACACB,Gluconeogenesis,kegg
Fatty acid degradation,8/43,2.2843778091728843E-22,4.1118800565111917E-21,0,0,159656,7955782.7485956615,CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS,Gluconeogenesis,kegg
PPAR signaling pathway,5/74,3.3544869066147825E-11,3.0190382159533043E-10,0,0,481.231884057971,11606.416603835018,CPT1A;CPT2;ACADL;ACSL1;ACSL3,Gluconeogenesis,kegg
Thermogenesis,4/232,1.1907539536763027E-6,7.1445237220578162E-6,0,0,86.684210526315795,1182.4527171226812,CPT1A;CPT2;ACSL1;ACSL3,Gluconeogenesis,kegg
Adipocytokine signaling pathway,3/69,2.1736023862629252E-6,9.7812107381831635E-6,0,0,181.14545454545456,2361.978167213847,CPT1A;ACSL1;ACSL3,Gluconeogenesis,kegg
Fatty acid biosynthesis,2/18,2.1351432280008236E-5,7.6865156208029656E-5,0,0,416.16666666666669,4475.619360309719,ACSL1;ACSL3,Gluconeogenesis,kegg
Butanoate metabolism,2/28,5.2645617296768729E-5,1.5572591716433008E-4,0,0,255.97435897435898,2521.8408431320772,ECHS1;ACADS,Gluconeogenesis,kegg
beta-Alanine metabolism,2/30,6.0560078897239473E-5,1.5572591716433008E-4,0,0,237.66666666666666,2308.1888742091614,ECHS1;ACADS,Gluconeogenesis,kegg
Propanoate metabolism,2/34,7.8039306520185809E-5,1.7558843967041806E-4,0,0,207.91666666666666,1966.537777625364,ECHS1;ACADS,Gluconeogenesis,kegg
Ferroptosis,2/41,1.1390884044388589E-4,2.2781768088777179E-4,0,0,170.53846153846155,1548.5083438136971,ACSL1;ACSL3,Gluconeogenesis,kegg
"Valine, leucine and isoleucine degradation",2/48,1.5647515348005239E-4,2.816552762640943E-4,0,0,144.53623188405797,1266.5151113505071,ECHS1;ACADS,Gluconeogenesis,kegg
Peroxisome,2/82,4.5756487514379021E-4,7.4874252296256588E-4,0,0,82.966666666666669,637.97980628651453,ACSL1;ACSL3,Gluconeogenesis,kegg
Fatty acid elongation,1/27,1.0750872860949598E-2,1.6126309291424397E-2,0,0,109.7032967032967,497.25962914000377,ECHS1,Gluconeogenesis,kegg
Tryptophan metabolism,1/42,1.6679797556906864E-2,2.3095104309563349E-2,0,0,69.515679442508713,284.56639751252425,ECHS1,Gluconeogenesis,kegg
Lysine degradation,1/63,2.492805820599394E-2,3.2050360550563636E-2,0,0,45.921658986175117,169.5318022982446,ECHS1,Gluconeogenesis,kegg
Glucagon signaling pathway,1/107,4.2014084646480689E-2,4.7699256497184254E-2,0,0,26.80053908355795,84.951018627794397,CPT1A,Gluconeogenesis,kegg
Insulin resistance,1/108,4.2399339108608228E-2,4.7699256497184254E-2,0,0,26.548731642189587,83.910518679018736,CPT1A,Gluconeogenesis,kegg
AMPK signaling pathway,1/120,4.7011830274227381E-2,4.9777232055064284E-2,0,0,23.857142857142858,72.939778880592712,CPT1A,Gluconeogenesis,kegg
Diabetic cardiomyopathy,1/203,7.8386136829956946E-2,7.8386136829956946E-2,0,0,13.995756718528996,35.634710854017911,CPT2,Gluconeogenesis,kegg
Synthesis and degradation of ketone bodies,4/10,4.7223345809444108E-13,4.722334580944411E-12,0,0,6662.666666666667,189095.16090166365,BDH2;HMGCS1;BDH1;HMGCS2,Gluconeogenesis,kegg
Butanoate metabolism,4/28,4.5981690605313917E-11,2.299084530265696E-10,0,0,1664.1666666666667,39611.789437083862,BDH2;HMGCS1;BDH1;HMGCS2,Gluconeogenesis,kegg
"Valine, leucine and isoleucine degradation",4/48,4.3629918321547479E-10,1.4543306107182493E-9,0,0,906.81818181818187,19544.373796001761,ACAA2;HMGCS1;HMGCS2;ACAA1,Gluconeogenesis,kegg
PPAR signaling pathway,3/74,9.6467001367312016E-7,2.4116750341828003E-6,0,0,280.6056338028169,3886.8032540273707,HMGCS1;HMGCS2;ACAA1,Gluconeogenesis,kegg
Terpenoid backbone biosynthesis,2/22,1.7278715595310902E-5,3.4557431190621804E-5,0,0,499.35,5475.88964033087,HMGCS1;HMGCS2,Gluconeogenesis,kegg
Fatty acid degradation,2/43,6.7355955097256852E-5,1.1225992516209476E-4,0,0,243.32926829268294,2337.3039679641729,ACAA2;ACAA1,Gluconeogenesis,kegg
alpha-Linolenic acid metabolism,1/25,7.4774468101390743E-3,8.9706965453475E-3,0,0,166.41666666666666,814.7533474976135,ACAA1,Gluconeogenesis,kegg
Biosynthesis of unsaturated fatty acids,1/27,8.0736268908127504E-3,8.9706965453475E-3,0,0,153.6,740.22181920983223,ACAA1,Gluconeogenesis,kegg
Fatty acid elongation,1/27,8.0736268908127504E-3,8.9706965453475E-3,0,0,153.6,740.22181920983223,ACAA2,Gluconeogenesis,kegg
Peroxisome,1/82,2.4352069500002304E-2,2.4352069500002304E-2,0,0,49.1679012345679,182.66556005448462,ACAA1,Gluconeogenesis,kegg
Arginine and proline metabolism,4/50,5.1631175307671027E-10,4.1304940246136822E-9,0,0,867.304347826087,18546.705350712906,OAT;CKM;GOT2;CKB,Gluconeogenesis,kegg
"Phenylalanine, tyrosine and tryptophan biosynthesis",1/6,1.7988408901478401E-3,7.1953635605913604E-3,0,0,799.56,5053.7091475187217,GOT2,Gluconeogenesis,kegg
Phenylalanine metabolism,1/17,5.0897414535705718E-3,1.3165234295857335E-2,0,0,249.72499999999999,1318.6799159042428,GOT2,Gluconeogenesis,kegg
Arginine biosynthesis,1/22,6.5826171479286674E-3,1.3165234295857335E-2,0,0,190.21904761904761,955.5316921910462,GOT2,Gluconeogenesis,kegg
Tyrosine metabolism,1/36,1.0752747305294047E-2,1.4665528842802917E-2,0,0,114.05142857142857,516.94882012443327,GOT2,Gluconeogenesis,kegg
"Alanine, aspartate and glutamate metabolism",1/37,1.1050054899886797E-2,1.4665528842802917E-2,0,0,110.87777777777778,499.53985677349652,GOT2,Gluconeogenesis,kegg
Fat digestion and absorption,1/43,1.2832337737452553E-2,1.4665528842802917E-2,0,0,95.009523809523813,413.84123997008294,GOT2,Gluconeogenesis,kegg
Cysteine and methionine metabolism,1/50,1.4908284799373634E-2,1.4908284799373634E-2,0,0,81.408163265306129,342.38956234448409,GOT2,Gluconeogenesis,kegg
Starch and sucrose metabolism,9/36,1.4632873350373728E-23,8.6333952767204986E-22,0,0,2217.8888888888887,116613.87340036755,GYS2;GYS1;HK3;UGP2;GBE1;PGM2;HK2;PGM1;HK1,Gluconeogenesis,kegg
Galactose metabolism,6/31,7.6064229462400323E-15,2.2438947691408096E-13,0,0,798.52,25959.712224621369,HK3;UGP2;PGM2;HK2;PGM1;HK1,Gluconeogenesis,kegg
Amino sugar and nucleotide sugar metabolism,6/48,1.2623197516636954E-13,2.4825621782719346E-12,0,0,474.90476190476193,14104.982542436219,HK3;UGP2;PGM2;HK2;PGM1;HK1,Gluconeogenesis,kegg
Insulin signaling pathway,6/137,8.2633651364663462E-11,1.2188463576287862E-9,0,0,151.58015267175571,3519.1763965530226,GYS2;GSK3B;GYS1;HK3;HK2;HK1,Gluconeogenesis,kegg
Glycolysis / Gluconeogenesis,5/67,2.8176024730614788E-10,3.3247709182125453E-9,0,0,229.56221198156683,5048.0649134714467,HK3;PGM2;HK2;PGM1;HK1,Gluconeogenesis,kegg
"Neomycin, kanamycin and gentamicin biosynthesis",3/5,1.6488119692692557E-9,1.6213317697814349E-8,0,0,3331,67363.5152647254,HK3;HK2;HK1,Gluconeogenesis,kegg
Shigellosis,5/246,1.9952111630469792E-7,1.681677980282454E-6,0,0,58.526970954356848,902.91581720296176,GSK3B;HK3;GSK3A;HK2;HK1,Gluconeogenesis,kegg
Fructose and mannose metabolism,3/33,8.9121679720243694E-7,6.5727238793679728E-6,0,0,221.75555555555556,3089.2052657889908,HK3;HK2;HK1,Gluconeogenesis,kegg
Type II diabetes mellitus,3/46,2.468761439877347E-6,1.5553564504656339E-5,0,0,154.6124031007752,1996.323494729249,HK3;HK2;HK1,Gluconeogenesis,kegg
Carbohydrate digestion and absorption,3/47,2.6361973736705659E-6,1.5553564504656339E-5,0,0,151.09090909090909,1940.9399671718354,HK3;HK2;HK1,Gluconeogenesis,kegg
Central carbon metabolism in cancer,3/70,8.8307241576343839E-6,4.7364793209129872E-5,0,0,99.109452736318403,1153.3638114615098,HK3;HK2;HK1,Gluconeogenesis,kegg
Insulin resistance,3/108,3.2514692610949381E-5,1.5169182367720852E-4,0,0,63.12063492063492,652.27718427175091,GYS2;GSK3B;GYS1,Gluconeogenesis,kegg
HIF-1 signaling pathway,3/109,3.3423622166164591E-5,1.5169182367720852E-4,0,0,62.522012578616355,644.36734567938822,HK3;HK2;HK1,Gluconeogenesis,kegg
Pentose phosphate pathway,2/30,1.4221789991262262E-4,5.9934686391748101E-4,0,0,142.57142857142858,1262.9191242496929,PGM2;PGM1,Gluconeogenesis,kegg
Diabetic cardiomyopathy,3/203,2.1186114607253252E-4,8.333205078852945E-4,0,0,32.979999999999997,278.99693089539278,GYS2;GSK3B;GYS1,Gluconeogenesis,kegg
PI3K-Akt signaling pathway,3/354,1.0742113111589966E-3,3.9611542098988003E-3,0,0,18.648622981956315,127.48512994318227,GYS2;GSK3B;GYS1,Gluconeogenesis,kegg
Glucagon signaling pathway,2/107,1.8071154231623758E-3,6.2717535274458922E-3,0,0,37.872380952380951,239.20284407557955,GYS2;GYS1,Gluconeogenesis,kegg
AMPK signaling pathway,2/120,2.2653928936461438E-3,7.4254544847290266E-3,0,0,33.677966101694913,205.09905173365922,GYS2;GYS1,Gluconeogenesis,kegg
Purine metabolism,2/129,2.6116372501194455E-3,8.0602102911259115E-3,0,0,31.277165354330709,186.02963460254267,PGM2;PGM1,Gluconeogenesis,kegg
Dopaminergic synapse,2/132,2.7322746749579357E-3,8.0602102911259115E-3,0,0,30.55076923076923,180.32960599224347,GSK3B;GSK3A,Gluconeogenesis,kegg
Non-alcoholic fatty liver disease,2/155,3.742863591746855E-3,1.0515664376812593E-2,0,0,25.928104575163399,144.88376689825418,GSK3B;GSK3A,Gluconeogenesis,kegg
Chemokine signaling pathway,2/192,5.6798092691881406E-3,1.5232215767368194E-2,0,0,20.84,107.76025612961541,GSK3B;GSK3A,Gluconeogenesis,kegg
Pentose and glucuronate interconversions,1/34,2.0215692219209058E-2,5.1857645257971055E-2,0,0,54.972451790633606,214.46381362673279,UGP2,Gluconeogenesis,kegg
Hedgehog signaling pathway,1/56,3.309612573679984E-2,8.0852051497612432E-2,0,0,32.947107438016531,112.2949128878184,GSK3B,Gluconeogenesis,kegg
Endometrial cancer,1/58,3.4259343854920521E-2,8.0852051497612432E-2,0,0,31.787878787878789,107.24581633848625,GSK3B,Gluconeogenesis,kegg
Basal cell carcinoma,1/63,3.7161779576272667E-2,8.4328653653849506E-2,0,0,29.217008797653961,96.196255749374828,GSK3B,Gluconeogenesis,kegg
Prolactin signaling pathway,1/70,4.1211757984317837E-2,9.0055323002768611E-2,0,0,26.243741765480895,83.692123770432559,GSK3B,Gluconeogenesis,kegg
B cell receptor signaling pathway,1/81,4.7544470857634545E-2,9.9140222405060277E-2,0,0,22.622727272727271,68.910858281195161,GSK3B,Gluconeogenesis,kegg
ErbB signaling pathway,1/85,4.9837753350796807E-2,9.9140222405060277E-2,0,0,21.541125541125542,64.601458156557385,GSK3B,Gluconeogenesis,kegg
Colorectal cancer,1/86,5.0410282578844209E-2,9.9140222405060277E-2,0,0,21.286631016042779,63.595089599609956,GSK3B,Gluconeogenesis,kegg
IL-17 signaling pathway,1/94,5.4979145063769622E-2,0.10451714865194368,0,0,19.44770283479961,56.41392256593172,GSK3B,Gluconeogenesis,kegg
Prostate cancer,1/97,5.6687267065460983E-2,0.10451714865194368,0,0,18.837121212121211,54.066411925168218,GSK3B,Gluconeogenesis,kegg
Melanogenesis,1/101,5.8960360820228652E-2,0.10526621213916339,0,0,18.079999999999998,51.182489597636589,GSK3B,Gluconeogenesis,kegg
T cell receptor signaling pathway,1/104,6.0661884961551782E-2,0.10526621213916339,0,0,17.550750220653132,49.1849192357055,GSK3B,Gluconeogenesis,kegg
Neurotrophin signaling pathway,1/119,6.9127282107932897E-2,0.11168622824329165,0,0,15.308166409861325,40.900447884891058,GSK3B,Gluconeogenesis,kegg
"Growth hormone synthesis, secretion and action",1/119,6.9127282107932897E-2,0.11168622824329165,0,0,15.308166409861325,40.900447884891058,GSK3B,Gluconeogenesis,kegg
Thyroid hormone signaling pathway,1/121,7.0250702466731596E-2,0.11168622824329165,0,0,15.051515151515151,39.97208258305033,GSK3B,Gluconeogenesis,kegg
Cell cycle,1/124,7.1933502936357335E-2,0.11168622824329165,0,0,14.682187730968218,38.643711282161568,GSK3B,Gluconeogenesis,kegg
Yersinia infection,1/137,7.9193425149914884E-2,0.11576946218640972,0,0,13.270053475935828,33.651024339520887,GSK3B,Gluconeogenesis,kegg
Measles,1/139,8.0305704143177725E-2,0.11576946218640972,0,0,13.076416337285902,32.977605605491178,GSK3B,Gluconeogenesis,kegg
Signaling pathways regulating pluripotency of stem cells,1/143,8.2526568247849305E-2,0.11576946218640972,0,0,12.70550576184379,31.695599342274981,GSK3B,Gluconeogenesis,kegg
Breast cancer,1/147,8.4742515404808719E-2,0.11576946218640972,0,0,12.354919053549191,30.493643355051663,GSK3B,Gluconeogenesis,kegg
Gastric cancer,1/149,8.5848648228948846E-2,0.11576946218640972,0,0,12.186732186732186,29.920492407790988,GSK3B,Gluconeogenesis,kegg
mTOR signaling pathway,1/154,8.8608621324746548E-2,0.11576946218640972,0,0,11.785502079619727,28.562472126761907,GSK3B,Gluconeogenesis,kegg
Cushing syndrome,1/155,8.9159698490051134E-2,0.11576946218640972,0,0,11.708382526564344,28.302979280758233,GSK3B,Gluconeogenesis,kegg
Hepatitis C,1/157,9.0260936619912677E-2,0.11576946218640972,0,0,11.557109557109557,27.795432208182255,GSK3B,Gluconeogenesis,kegg
Hippo signaling pathway,1/163,9.3557332354280029E-2,0.1159481981182133,0,0,11.125701459034792,26.358798843411972,GSK3B,Gluconeogenesis,kegg
Wnt signaling pathway,1/166,9.5201421086498289E-2,0.1159481981182133,0,0,10.92176308539945,25.685370030735868,GSK3B,Gluconeogenesis,kegg
Hepatocellular carcinoma,1/168,9.6295961149024611E-2,0.1159481981182133,0,0,10.78987479586282,25.251855826797005,GSK3B,Gluconeogenesis,kegg
Axon guidance,1/182,0.10392382237785831,0.12263011040587281,0,0,9.9482672024108485,22.523843175382979,GSK3B,Gluconeogenesis,kegg
Kaposi sarcoma-associated herpesvirus infection,1/193,0.10987568860765264,0.12711109074218641,0,0,9.3731060606060606,20.699620436703082,GSK3B,Gluconeogenesis,kegg
Focal adhesion,1/201,0.11418153310963532,0.12955212410516315,0,0,8.9945454545454542,19.517855136107741,GSK3B,Gluconeogenesis,kegg
Lipid and atherosclerosis,1/215,0.12167084620216879,0.13544490426279168,0,0,8.4001699235344098,17.694419176440732,GSK3B,Gluconeogenesis,kegg
Human cytomegalovirus infection,1/225,0.126984770088551,0.13874261917082423,0,0,8.021103896103897,16.553056821898632,GSK3B,Gluconeogenesis,kegg
Prion disease,1/273,0.15208378767324121,0.16314442677674967,0,0,6.5895721925133692,12.410297320374392,GSK3B,Gluconeogenesis,kegg
Human papillomavirus infection,1/331,0.18152860965592338,0.19125335660177642,0,0,5.415426997245179,9.2405705806702034,GSK3B,Gluconeogenesis,kegg
Alzheimer disease,1/369,0.20030863276862923,0.20733700584823028,0,0,4.8468379446640313,7.7932110435864779,GSK3B,Gluconeogenesis,kegg
Pathways of neurodegeneration,1/475,0.25062715666941721,0.25494831454302785,0,0,3.7426160337552741,5.1789904338772033,GSK3B,Gluconeogenesis,kegg
Pathways in cancer,1/531,0.27602265183294583,0.27602265183294583,0,0,3.3375643224699827,4.2963542512206434,GSK3B,Gluconeogenesis,kegg
Starch and sucrose metabolism,7/36,1.1805621270710007E-18,1.7708431906065011E-17,0,0,2409.2068965517242,99453.36399824715,PYGB;G6PC2;G6PC3;PGM2;PYGM;PYGL;PGM1,Gluconeogenesis,kegg
Glucagon signaling pathway,5/107,4.9396048405781089E-10,2.2182505224366405E-9,0,0,243.73774509803923,5222.9502585001883,PYGB;G6PC2;G6PC3;PYGM;PYGL,Gluconeogenesis,kegg
Insulin resistance,5/108,5.178529645120476E-10,2.2182505224366405E-9,0,0,241.35922330097088,5160.5811455255007,PYGB;G6PC2;G6PC3;PYGM;PYGL,Gluconeogenesis,kegg
Galactose metabolism,4/31,5.915334726497708E-10,2.2182505224366405E-9,0,0,591.52592592592589,12568.922014552623,G6PC2;G6PC3;PGM2;PGM1,Gluconeogenesis,kegg
Insulin signaling pathway,5/137,1.7271149886507662E-9,5.181344965952299E-9,0,0,188.05871212121212,3794.4255534537783,PYGB;G6PC2;G6PC3;PYGM;PYGL,Gluconeogenesis,kegg
Glycolysis / Gluconeogenesis,4/67,1.4306907436567586E-8,3.5767268591418962E-8,0,0,253.05396825396826,4570.7932176812164,G6PC2;G6PC3;PGM2;PGM1,Gluconeogenesis,kegg
Necroptosis,3/159,3.9986141120513278E-5,8.5684588115385589E-5,0,0,63.573717948717949,643.80961989595141,PYGB;PYGM;PYGL,Gluconeogenesis,kegg
Pentose phosphate pathway,2/30,7.7790489973988207E-5,1.458571687012279E-4,0,0,203.70408163265307,1927.3444106230902,PGM2;PGM1,Gluconeogenesis,kegg
Carbohydrate digestion and absorption,2/47,1.9254963508295519E-4,3.0131178430402311E-4,0,0,126.64126984126985,1083.4358946139766,G6PC2;G6PC3,Gluconeogenesis,kegg
Amino sugar and nucleotide sugar metabolism,2/48,2.0087452286934873E-4,3.0131178430402311E-4,0,0,123.88198757763975,1054.5863138348677,PGM2;PGM1,Gluconeogenesis,kegg
Adipocytokine signaling pathway,2/69,4.1573510553512564E-4,5.6691150754789859E-4,0,0,84.96375266524521,661.48209035853381,G6PC2;G6PC3,Gluconeogenesis,kegg
AMPK signaling pathway,2/120,1.2503080539860466E-3,1.5628850674825584E-3,0,0,48.118644067796609,321.64259540397012,G6PC2;G6PC3,Gluconeogenesis,kegg
Purine metabolism,2/129,1.4426991132955526E-3,1.5934964944079519E-3,0,0,44.688413948256468,292.3176201028142,PGM2;PGM1,Gluconeogenesis,kegg
FoxO signaling pathway,2/131,1.4872633947807551E-3,1.5934964944079519E-3,0,0,43.991140642303435,286.41828814216444,G6PC2;G6PC3,Gluconeogenesis,kegg
PI3K-Akt signaling pathway,2/354,1.0358818281433778E-2,1.0358818281433778E-2,0,0,15.940746753246753,72.847891400080002,G6PC2;G6PC3,Gluconeogenesis,kegg
Arginine biosynthesis,6/22,2.3472056910959181E-17,1.6430439837671427E-16,0,0,3745.5,143417.89560986188,ARG2;CPS1;ARG1;ASL;ASS1;OTC,Gluconeogenesis,kegg
"Alanine, aspartate and glutamate metabolism",4/37,6.8987798741338331E-10,2.4145729559468417E-9,0,0,604.81818181818187,12758.340985311122,CPS1;CAD;ASL;ASS1,Gluconeogenesis,kegg
Arginine and proline metabolism,3/50,8.1601679509225178E-7,1.9040391885485876E-6,0,0,254.61702127659575,3569.4329655314791,ARG2;ARG1;AGMAT,Gluconeogenesis,kegg
Amoebiasis,2/102,7.0686620991638712E-4,1.2370158673536775E-3,0,0,66.306666666666672,481.03292886084796,ARG2;ARG1,Gluconeogenesis,kegg
Nitrogen metabolism,1/17,6.7809060200976099E-3,9.4932684281366538E-3,0,0,178.35714285714286,890.65217521593831,CPS1,Gluconeogenesis,kegg
Pyrimidine metabolism,1/56,2.2185389719098877E-2,2.5882954672282025E-2,0,0,51.784415584415584,197.21169430337935,CAD,Gluconeogenesis,kegg
Fluid shear stress and atherosclerosis,1/139,5.4275189323567431E-2,5.4275189323567431E-2,0,0,20.552795031055901,59.884433789824605,ASS1,Gluconeogenesis,kegg
