Gene,WikiPathway,BioPlanet,KEGG,Datasets,Total
NCOA1,1,1,0,WB,2
NCOA2,1,1,1,WBK,3
NCOR1,1,1,1,WBK,3
NCOR2,1,1,0,WB,2
NDN,1,1,0,WB,2
NR2F1,1,1,0,WB,2
NR3C1,1,1,1,WBK,3
NRIP1,1,1,0,WB,2
PLIN2,1,1,1,WBK,3
PNPLA3,1,1,0,WB,2
PTGIS,1,1,1,WBK,3
RARA,1,1,1,WBK,3
RB1,1,1,1,WBK,3
RBL1,1,1,1,WBK,3
RETN,1,1,0,WB,2
RORA,1,1,1,WBK,3
SERPINE1,1,1,1,WBK,3
SFRP4,1,1,0,WB,2
SOCS1,1,1,1,WBK,3
SOCS3,1,1,1,WBK,3
SPOCK1,1,1,0,WB,2
STAT1,1,1,1,WBK,3
STAT2,1,1,1,WBK,3
STAT5A,1,1,1,WBK,3
STAT5B,1,1,0,WB,2
STAT6,1,1,0,WB,2
TNF,1,1,1,WBK,3
TRIB3,1,1,1,WBK,3
TWIST1,1,1,0,WB,2
WWTR1,1,1,1,WBK,3
ZMPSTE24,1,1,1,WBK,3
ADCYAP1,1,1,1,WBK,3
ADCYAP1R1,1,1,1,WBK,3
AQP4,1,1,1,WBK,3
AR,1,1,1,WBK,3
ASCL1,1,1,0,WB,2
ATP1A3,1,1,0,WB,2
AVP,1,1,1,WBK,3
BHLHE40,1,1,0,WB,2
C4A,1,1,1,WBK,3
C4B,1,1,0,WB,2
CASP3,1,1,1,WBK,3
CAV3,1,1,0,WB,2
CC2D1A,1,0,0,W,1
CDCA7L,1,0,0,W,1
CHAT,1,1,0,WB,2
CHRNA4,1,1,1,WBK,3
CHRNA7,1,1,1,WBK,3
CHRNB2,1,1,0,WB,2
CHRNB4,1,1,0,WB,2
CREBBP,1,1,1,WBK,3
CREM,1,1,0,WB,2
CTCF,1,0,0,W,1
CXCL8,1,1,1,WBK,3
DEAF1,1,0,0,W,1
DLX2,1,1,0,WB,2
ECE1,1,0,0,W,1
EGR1,1,1,1,WBK,3
EN1,1,0,0,W,1
EP300,1,1,0,WB,2
ESR2,1,0,0,W,1
FEV,1,0,1,WK,2
FMO3,1,1,0,WB,2
FOXM1,1,1,0,WB,2
GABRA1,1,1,1,WBK,3
GJA1,1,1,1,WBK,3
GPD1L,1,1,0,WB,2
GRIN1,1,1,1,WBK,3
HADHA,1,1,1,WBK,3
HADHB,1,1,0,WB,2
HDAC1,1,1,1,WBK,3
HDAC9,1,1,0,WB,2
HES1,1,1,1,WBK,3
HES5,1,1,0,WB,2
HSPD1,1,1,1,WBK,3
HTR1A,1,1,1,WBK,3
HTR2A,1,1,1,WBK,3
HTR3A,1,1,0,WB,2
IL10,1,1,1,WBK,3
IL13,1,1,1,WBK,3
IL1A,1,1,1,WBK,3
IL1B,1,1,1,WBK,3
IL1RN,1,1,0,WB,2
KCNH2,1,1,0,WB,2
KCNJ8,1,1,0,WB,2
KCNQ1,1,1,0,WB,2
LMX1B,1,0,0,W,1
MAP2,1,1,0,WB,2
MAZ,1,0,0,W,1
MBD1,1,1,0,WB,2
MECP2,1,0,0,W,1
MIR130A,1,0,0,W,1
MIR16-1,1,0,0,W,1
MIR210,1,0,1,WK,2
"NANOG",1,1,0,WB,2
NEUROD1,1,1,1,WBK,3
NFYA,1,1,1,WBK,3
NKX2-2,1,1,1,WBK,3
NKX3-1,1,1,1,WBK,3
NOS1AP,1,1,1,WBK,3
PAH,1,1,1,WBK,3
PBX1,1,1,1,WBK,3
PHOX2A,1,0,0,W,1
PHOX2B,1,1,0,WB,2
PKNOX1,1,0,0,W,1
PLP1,1,0,0,W,1
POU2F2,1,1,0,WB,2
POU3F2,1,0,0,W,1
POU5F1,1,1,1,WBK,3
PPARGC1B,1,1,1,WBK,3
PRKACB,1,1,0,WB,2
PRKAR1A,1,1,0,WB,2
PRKAR1B,1,1,0,WB,2
PRKAR2A,1,1,0,WB,2
PRKAR2B,1,1,0,WB,2
REST,1,1,1,WBK,3
RET,1,1,1,WBK,3
RUNX3,1,1,0,WB,2
RYR2,1,1,1,WBK,3
SCN3B,1,1,0,WB,2
SCN4B,1,0,0,W,1
SCN5A,1,1,0,WB,2
SLC1A3,1,1,0,WB,2
SLC25A4,1,1,1,WBK,3
SLC6A4,1,0,0,W,1
SLC9A3,1,1,1,WBK,3
SNAP25,1,1,1,WBK,3
SNTA1,1,0,0,W,1
SOX2,1,1,1,WBK,3
SP3,1,0,0,W,1
SPTBN1,1,1,0,WB,2
SST,1,1,1,WBK,3
SSTR1,1,1,1,WBK,3
SSTR2,1,1,0,WB,2
TAC1,1,1,1,WBK,3
TACR1,1,1,1,WBK,3
TCF3,1,1,1,WBK,3
TF,1,1,1,WBK,3
TLX3,1,0,1,WK,2
TPH2,1,1,1,WBK,3
TPPP,1,0,0,W,1
TSPYL1,1,1,0,WB,2
VAMP2,1,1,1,WBK,3
VIPR1,1,1,1,WBK,3
VIPR2,1,1,0,WB,2
YBX1,1,1,0,WB,2
YWHAB,1,1,0,WB,2
YWHAE,1,1,1,WBK,3
YWHAG,1,1,0,WB,2
YWHAH,1,1,0,WB,2
YWHAQ,1,1,1,WBK,3
YWHAZ,1,1,0,WB,2
CAB39,1,1,1,WBK,3
CAB39L,1,1,0,WB,2
COL11A1,1,1,0,WB,2
COL11A2,1,1,0,WB,2
COL3A1,1,1,0,WB,2
COL5A1,1,1,0,WB,2
COL5A2,1,1,0,WB,2
COL5A3,1,1,0,WB,2
CRTC2,1,1,1,WBK,3
ELAVL1,1,1,1,WBK,3
FGF16,1,1,0,WB,2
FOXA1,1,1,0,WB,2
HIF3A,1,0,0,W,1
ITGAD,1,1,0,WB,2
ITGAE,1,1,0,WB,2
ITGAL,1,1,1,WBK,3
ITGAX,1,1,0,WB,2
ITGB2,1,1,1,WBK,3
NOS1,1,1,1,WBK,3
NOS2,1,1,1,WBK,3
PELO,1,1,0,WB,2
PFKFB1,1,1,1,WBK,3
PFKFB3,1,1,1,WBK,3
PFKFB4,1,1,0,WB,2
PIK3IP1,1,1,0,WB,2
RAB10,1,0,0,W,1
RAB11B,1,1,0,WB,2
RAB14,1,1,0,WB,2
RAB2A,1,1,0,WB,2
RAB8A,1,0,0,W,1
STRADA,1,1,0,WB,2
TBC1D1,1,0,1,WK,2
ULK1,1,1,1,WBK,3
ABCB1,1,1,1,WBK,3
ABCB11,1,1,1,WBK,3
ABCB4,1,1,1,WBK,3
ABCC2,1,1,1,WBK,3
ABCC3,1,1,1,WBK,3
ABCC4,1,1,1,WBK,3
ABCC5,1,1,0,WB,2
ABHD2,1,0,0,W,1
ACKR3,1,1,0,WB,2
ADGRF4,1,0,0,W,1
AGER,1,1,1,WBK,3
AHRR,1,0,0,W,1
AIP,1,1,0,WB,2
AKAP13,1,1,1,WBK,3
ALAS1,1,1,1,WBK,3
ALDH3A1,1,1,1,WBK,3
ALOX5AP,1,1,0,WB,2
AMIGO2,1,0,0,W,1
ANKRD1,1,1,0,WB,2
ARL5B,1,0,0,W,1
ARNT,1,1,1,WBK,3
B3GNT5,1,1,0,WB,2
BAAT,1,1,1,WBK,3
BIRC2,1,1,1,WBK,3
BIRC3,1,1,0,WB,2
BLVRB,1,1,0,WB,2
CAP2,1,1,0,WB,2
CAVIN2,1,0,0,W,1
CBR1,1,1,1,WBK,3
CBR3,1,1,0,WB,2
CCL2,1,1,1,WBK,3
CCL20,1,1,1,WBK,3
CDC42EP3,1,0,0,W,1
CDK1,1,1,1,WBK,3
CDKN1C,1,1,0,WB,2
CES1,1,1,0,WB,2
CES2,1,0,0,W,1
CES3,1,0,0,W,1
CES4A,1,0,0,W,1
CES5A,1,1,0,WB,2
CPEB4,1,0,0,W,1
CUL1,1,1,1,WBK,3
CYP2A6,1,1,0,WB,2
CYP2C19,1,1,1,WBK,3
CYP2C9,1,1,0,WB,2
CYP3A5,1,1,0,WB,2
CYP3A7,1,1,0,WB,2
CYP4F12,1,1,0,WB,2
DNAJB1,1,1,0,WB,2
DNAJC15,1,0,0,W,1
DNAJC7,1,0,0,W,1
DNER,1,1,0,WB,2
EDN2,1,1,0,WB,2
ENC1,1,1,0,WB,2
EPB41L4B,1,0,0,W,1
EPHA3,1,1,0,WB,2
ETNK2,1,1,0,WB,2
FGD4,1,1,0,WB,2
FGFBP1,1,0,0,W,1
FKBP5,1,1,0,WB,2
FTH1,1,1,1,WBK,3
FTL,1,1,0,WB,2
G6PD,1,1,1,WBK,3
GCC1,1,1,0,WB,2
GCLC,1,1,1,WBK,3
GGT1,1,1,1,WBK,3
GPR153,1,0,0,W,1
GPX2,1,1,0,WB,2
GPX3,1,1,0,WB,2
GSTA1,1,1,0,WB,2
GSTA2,1,1,0,WB,2
GSTA3,1,1,0,WB,2
GSTA4,1,1,0,WB,2
GSTA5,1,1,0,WB,2
GSTM1,1,1,0,WB,2
GSTM2,1,1,0,WB,2
GSTM3,1,1,0,WB,2
GSTM4,1,1,0,WB,2
GSTM5,1,1,0,WB,2
GSTP1,1,1,1,WBK,3
GSTT2,1,1,0,WB,2
HBEGF,1,1,1,WBK,3
HMOX1,1,1,1,WBK,3
HSPA1A,1,1,1,WBK,3
IFNG,1,1,1,WBK,3
IGFBP1,1,1,0,WB,2
IL11,1,1,0,WB,2
IL12A,1,1,1,WBK,3
IL12B,1,1,0,WB,2
IL17B,1,0,1,WK,2
IP6K3,1,0,0,W,1
JUNB,1,1,1,WBK,3
JUND,1,1,0,WB,2
KAT2B,1,1,0,WB,2
KEAP1,1,1,1,WBK,3
KLK15,1,0,0,W,1
KTN1,1,0,0,W,1
LRRC8A,1,0,0,W,1
MAFF,1,1,0,WB,2
MAFG,1,1,0,WB,2
MFGE8,1,1,0,WB,2
MGST1,1,1,0,WB,2
MGST2,1,1,0,WB,2
MGST3,1,1,0,WB,2
MYOF,1,0,0,W,1
"NAV3",1,0,0,W,1
NCOA3,1,1,1,WBK,3
NCOA6,1,1,0,WB,2
NFE2L2,1,1,1,WBK,3
NQO1,1,1,1,WBK,3
NR1H4,1,0,1,WK,2
NR1I2,1,0,0,W,1
NR1I3,1,1,0,WB,2
NRG1,1,1,1,WBK,3
PDE4B,1,1,0,WB,2
PGD,1,1,1,WBK,3
PLK2,1,1,0,WB,2
PMP2,1,1,0,WB,2
POLK,1,0,1,WK,2
PPP1R14C,1,1,0,WB,2
PRDX1,1,1,1,WBK,3
PRDX6,1,1,1,WBK,3
PRRG4,1,0,0,W,1
PSMC5,1,1,0,WB,2
PTGES3,1,0,1,WK,2
PTGR1,1,0,0,W,1
PTGS2,1,1,1,WBK,3
PTPA,1,0,1,WK,2
RGS2,1,1,0,WB,2
S100P,1,1,0,WB,2
SCNN1A,1,1,1,WBK,3
SEC14L1,1,0,0,W,1
SERPINA1,1,1,0,WB,2
SERPINB2,1,1,0,WB,2
SERPINB9,1,1,0,WB,2
SERTAD2,1,0,0,W,1
SLC10A1,1,1,1,WBK,3
SLC19A2,1,1,0,WB,2
SLC26A2,1,1,0,WB,2
SLC2A10,1,1,0,WB,2
SLC2A11,1,1,0,WB,2
SLC2A12,1,1,0,WB,2
SLC2A13,1,1,0,WB,2
SLC2A14,1,1,0,WB,2
SLC2A6,1,1,0,WB,2
SLC2A7,1,1,0,WB,2
SLC2A8,1,1,0,WB,2
SLC2A9,1,1,0,WB,2
SLC39A1,1,1,0,WB,2
SLC39A10,1,1,0,WB,2
SLC39A11,1,0,1,WK,2
SLC39A12,1,0,0,W,1
SLC39A13,1,0,0,W,1
SLC39A14,1,1,1,WBK,3
SLC39A2,1,1,0,WB,2
SLC39A3,1,1,0,WB,2
SLC39A4,1,1,0,WB,2
SLC39A5,1,1,0,WB,2
SLC39A6,1,1,0,WB,2
SLC39A7,1,1,0,WB,2
SLC39A8,1,1,0,WB,2
SLC39A9,1,0,0,W,1
SLC5A1,1,1,1,WBK,3
SLC5A10,1,0,0,W,1
SLC5A11,1,1,0,WB,2
SLC5A12,1,0,0,W,1
SLC5A2,1,1,0,WB,2
SLC5A3,1,1,0,WB,2
SLC5A4,1,0,0,W,1
SLC5A6,1,1,0,WB,2
SLC5A7,1,1,0,WB,2
SLC5A8,1,1,0,WB,2
SLC5A9,1,1,0,WB,2
SLC6A1,1,1,1,WBK,3
SLC6A11,1,1,1,WBK,3
SLC6A13,1,1,0,WB,2
SLC6A14,1,1,0,WB,2
SLC6A15,1,1,0,WB,2
SLC6A16,1,0,0,W,1
SLC6A17,1,0,0,W,1
SLC6A18,1,1,0,WB,2
SLC6A19,1,1,0,WB,2
SLC6A2,1,1,0,WB,2
SLC6A20,1,1,0,WB,2
SLC6A3,1,1,1,WBK,3
SLC6A5,1,1,0,WB,2
SLC6A6,1,1,0,WB,2
SLC6A7,1,1,0,WB,2
SLC6A8,1,1,0,WB,2
SLC6A9,1,1,0,WB,2
SLC7A11,1,1,1,WBK,3
SLC7A5,1,1,1,WBK,3
SLCO1B1,1,1,1,WBK,3
SLCO2B1,1,1,0,WB,2
SMARCA1,1,0,0,W,1
SMC1A,1,1,0,WB,2
SNAI2,1,1,1,WBK,3
SOD3,1,1,0,WB,2
SPINK13,1,0,0,W,1
SPRY1,1,1,0,WB,2
SQSTM1,1,1,1,WBK,3
SRGN,1,1,0,WB,2
SRPX2,1,1,0,WB,2
SRXN1,1,0,0,W,1
STOM,1,1,0,WB,2
SULT1A1,1,1,0,WB,2
SULT2A1,1,1,1,WBK,3
TGFB2,1,1,1,WBK,3
TGFBR2,1,1,1,WBK,3
TGFBR3,1,1,0,WB,2
THBD,1,1,1,WBK,3
TNFAIP3,1,1,1,WBK,3
TNS4,1,1,0,WB,2
TSC22D3,1,1,0,WB,2
TXN,1,1,0,WB,2
TXNRD1,1,1,0,WB,2
TXNRD3,1,1,0,WB,2
UGT1A1,1,1,0,WB,2
UGT1A3,1,1,0,WB,2
UGT1A4,1,1,0,WB,2
UGT1A6,1,1,0,WB,2
UGT1A7,1,1,0,WB,2
UGT1A9,1,1,0,WB,2
UGT2B4,1,1,0,WB,2
UGT2B7,1,1,0,WB,2
VDR,1,1,0,WB,2
ZIC2,1,1,0,WB,2
BAP1,1,0,0,W,1
BHLHE41,1,1,0,WB,2
CAMK1,1,1,0,WB,2
CDH13,1,0,0,W,1
CEP290,1,1,0,WB,2
DEPTOR,1,0,1,WK,2
EFCAB3,1,0,0,W,1
ENPP3,1,1,0,WB,2
GRB10,1,1,1,WBK,3
KCNJ2,1,1,0,WB,2
KDM5C,1,1,0,WB,2
KSR1,1,1,0,WB,2
LDHD,1,1,1,WBK,3
MIR21,1,0,1,WK,2
PBRM1,1,0,1,WK,2
PGBD5,1,0,0,W,1
PGM1,1,1,1,WBK,3
PGM2,1,1,1,WBK,3
PHGDH,1,1,1,WBK,3
PLOD2,1,1,0,WB,2
PSAT1,1,1,1,WBK,3
PSPH,1,1,1,WBK,3
RAPGEF5,1,1,1,WBK,3
SDSL,1,0,0,W,1
SETD2,1,1,0,WB,2
SHMT1,1,1,1,WBK,3
SHMT2,1,1,0,WB,2
SSPN,1,0,0,W,1
TGFB3,1,1,0,WB,2
TOX2,1,0,0,W,1
VHL,1,1,1,WBK,3
ZEB1,1,1,1,WBK,3
TALDO1,1,1,1,WBK,3
GART,1,1,1,WBK,3
IDH2,1,1,0,WB,2
PAICS,1,1,1,WBK,3
PDHB,1,1,0,WB,2
PPAT,1,1,1,WBK,3
PYCR2,1,1,1,WBK,3
RPIA,1,1,1,WBK,3
SDHB,1,1,1,WBK,3
SLC16A3,1,1,1,WBK,3
SLC1A5,1,1,1,WBK,3
TIGAR,1,0,1,WK,2
TKT,1,1,1,WBK,3
BCL2A1,1,1,1,WBK,3
BID,1,1,1,WBK,3
BIRC5,1,1,1,WBK,3
BNIP3,1,1,1,WBK,3
BNIP3L,1,1,0,WB,2
EDN1,1,1,1,WBK,3
EGLN1,1,1,0,WB,2
HIF1AN,1,1,0,WB,2
IGFBP2,1,1,0,WB,2
IGFBP3,1,1,1,WBK,3
SLC16A1,1,1,0,WB,2
AGL,1,1,1,WBK,3
CALM1,1,1,0,WB,2
CALM2,1,1,0,WB,2
CALM3,1,1,0,WB,2
GBE1,1,1,1,WBK,3
GYG1,1,1,1,WBK,3
GYG2,1,1,0,WB,2
HKDC1,1,0,0,W,1
PHKA1,1,1,1,WBK,3
PHKA2,1,1,0,WB,2
PHKB,1,1,0,WB,2
PHKG1,1,1,0,WB,2
PHKG2,1,1,0,WB,2
PYGB,1,1,1,WBK,3
PYGL,1,1,0,WB,2
PYGM,1,1,0,WB,2
UGP2,1,1,1,WBK,3
GPAT3,1,0,0,W,1
GPD1,1,1,0,WB,2
PGM3,1,1,1,WBK,3
PGM5,1,1,0,WB,2
UGDH,1,1,1,WBK,3
UGT1A10,1,1,0,WB,2
UGT1A5,1,1,0,WB,2
UGT1A8,1,1,0,WB,2
UGT2A1,1,1,0,WB,2
UGT2A2,1,1,0,WB,2
UGT2A3,1,1,0,WB,2
UGT2B10,1,1,0,WB,2
UGT2B11,1,1,0,WB,2
UGT2B15,1,1,0,WB,2
UGT2B17,1,1,0,WB,2
UGT2B28,1,1,0,WB,2
ABHD11,1,0,0,W,1
BICDL3P,1,0,0,W,1
ATP5F1A,1,1,0,WB,2
ATP5F1B,1,1,0,WB,2
ATP5F1D,1,1,0,WB,2
ATP5F1E,1,1,0,WB,2
ATP5PB,1,1,0,WB,2
ATP5MC1,1,1,0,WB,2
ATP5MC2,1,1,0,WB,2
ATP5MC3,1,1,0,WB,2
ATP5PO,1,1,0,WB,2
ATPAF1,1,0,0,W,1
ATPAF2,1,0,0,W,1
BAZ1B,1,0,0,W,1
BCL7B,1,0,0,W,1
BECN1,1,1,0,WB,2
BRD4,1,0,0,W,1
BTK,1,1,1,WBK,3
BUD23,1,0,0,W,1
CFL1,1,1,1,WBK,3
CHTF18,1,0,0,W,1
CLASP1,1,1,0,WB,2
CLASP2,1,1,0,WB,2
CLDN1,1,1,0,WB,2
CLDN3,1,0,0,W,1
CLDN4,1,1,0,WB,2
CLDN5,1,1,0,WB,2
CLIP2,1,0,0,W,1
CLTC,1,1,0,WB,2
DDX21,1,1,0,WB,2
DEK,1,0,0,W,1
DNAJC30,1,0,0,W,1
EIF2A,1,0,0,W,1
EIF2AK3,1,1,1,WBK,3
EIF4H,1,1,0,WB,2
ELN,1,1,0,WB,2
ELN-AS1,1,0,0,W,1
ERCC6,1,0,0,W,1
FBLN2,1,0,0,W,1
FBLN5,1,1,0,WB,2
FBN1,1,1,0,WB,2
FKBP6,1,1,0,WB,2
FZD9,1,1,0,WB,2
GRIP1,1,1,0,WB,2
GTF2I,1,1,0,WB,2
GTF2IRD1,1,1,0,WB,2
H2AX,1,1,0,WB,2
HDAC2,1,1,0,WB,2
HDAC3,1,1,0,WB,2
HDAC6,1,1,1,WBK,3
HOXC8,1,0,0,W,1
HSPA2,1,1,0,WB,2
LAT2,1,1,0,WB,2
LIMK1,1,1,1,WBK,3
METTL27,1,0,0,W,1
MIR4284,1,0,0,W,1
MIR590,1,0,0,W,1
MT-ATP6,1,0,0,W,1
MT-ATP8,1,0,0,W,1
MVB12A,1,0,0,W,1
MYBBP1A,1,1,0,WB,2
MYO1C,1,1,0,WB,2
NUP62,1,1,0,WB,2
PCNA,1,1,1,WBK,3
PRKG1,1,1,1,WBK,3
RFC2,1,1,0,WB,2
RFC5,1,1,0,WB,2
RN7SL265P,1,0,0,W,1
RNA5SP233,1,0,0,W,1
RNU6-1080P,1,0,0,W,1
RNU6-1198P,1,0,0,W,1
SF3B1,1,0,0,W,1
SMARCA5,1,1,0,WB,2
STAG3L2,1,0,0,W,1
STX1A,1,1,1,WBK,3
TBL2,1,0,0,W,1
TMEM270,1,0,0,W,1
TRIM50,1,0,0,W,1
TSG101,1,1,0,WB,2
UBE2E1,1,1,0,WB,2
UBE2E3,1,1,0,WB,2
UBE2L6,1,1,0,WB,2
UBIAD1,1,0,0,W,1
USF1,1,0,0,W,1
VPS28,1,1,0,WB,2
VPS37A,1,1,0,WB,2
VPS37B,1,1,0,WB,2
VPS37C,1,1,0,WB,2
VPS37D,1,1,0,WB,2
VPS9D1,1,0,0,W,1
ABCF2,1,0,1,WK,2
ACOT9,1,0,0,W,1
ACP1,1,0,0,W,1
ACTG1,1,1,0,WB,2
ADAM10,1,1,1,WBK,3
ADAM9,1,0,0,W,1
ADAMTS1,1,1,0,WB,2
ADAMTS9,1,0,0,W,1
ADRB2,1,1,0,WB,2
AFDN,1,0,1,WK,2
AKAP2,1,1,0,WB,2
ALB,1,1,1,WBK,3
AMOT,1,1,1,WBK,3
ANXA1,1,1,0,WB,2
AP2A1,1,1,0,WB,2
AP2S1,1,1,0,WB,2
APOLD1,1,0,0,W,1
ARF4,1,0,0,W,1
ARF6,1,1,1,WBK,3
ARHGEF15,1,0,0,W,1
ARMCX1,1,1,0,WB,2
ARPC5L,1,0,0,W,1
ARRB2,1,1,0,WB,2
ASCC3,1,0,0,W,1
ATF6,1,1,1,WBK,3
ATP6V0D1,1,1,0,WB,2
ATP6V1E1,1,1,1,WBK,3
BCAR1,1,1,1,WBK,3
BIN1,1,1,0,WB,2
BMP10,1,1,0,WB,2
BMX,1,1,0,WB,2
BSG,1,1,0,WB,2
C15orf39,1,0,0,W,1
CACNA2D1,1,1,0,WB,2
CALR,1,1,1,WBK,3
CALU,1,1,0,WB,2
CAMKK2,1,1,1,WBK,3
CAPN2,1,1,1,WBK,3
CAPZB,1,1,0,WB,2
MIR1915HG,1,0,0,W,1
CAV1,1,1,1,WBK,3
CCDC124,1,0,0,W,1
CCRL2,1,1,0,WB,2
CCT7,1,1,0,WB,2
CDC42BPB,1,0,0,W,1
CDH5,1,1,1,WBK,3
CGNL1,1,0,0,W,1
CHAC1,1,0,0,W,1
CLIC1,1,1,0,WB,2
CNP,1,0,0,W,1
COPG1,1,0,0,W,1
CRIP2,1,0,0,W,1
CSK,1,1,0,WB,2
CSRP1,1,0,0,W,1
CSRP2,1,1,0,WB,2
CCN2,1,1,0,WB,2
CTNNA1,1,1,1,WBK,3
CTNND1,1,1,1,WBK,3
CYBB,1,1,1,WBK,3
CYCS,1,1,1,WBK,3
CYP2C8,1,1,1,WBK,3
CCN1,1,1,0,WB,2
DHX29,1,0,0,W,1
DHX36,1,0,1,WK,2
DKK1,1,1,1,WBK,3
DLL4,1,1,0,WB,2
DNAJA1,1,1,0,WB,2
DNAJB4,1,0,0,W,1
DNAJB9,1,1,0,WB,2
DOK1,1,1,0,WB,2
DPM1,1,1,0,WB,2
DSC1,1,0,0,W,1
DUSP5,1,1,0,WB,2
EEA1,1,1,0,WB,2
EGR3,1,1,0,WB,2
EIF3D,1,1,0,WB,2
EIF3F,1,1,0,WB,2
EIF3H,1,1,1,WBK,3
EIF4G1,1,1,0,WB,2
EIF4G2,1,1,0,WB,2
ELK1,1,1,1,WBK,3
ELOA,1,0,0,W,1
ELOC,1,0,1,WK,2
ENG,1,1,0,WB,2
EPB41,1,1,0,WB,2
EPHB2,1,1,0,WB,2
EPN1,1,1,0,WB,2
EPS15,1,1,0,WB,2
ERG,1,0,1,WK,2
ERN1,1,1,1,WBK,3
ETS1,1,1,1,WBK,3
EWSR1,1,1,1,WBK,3
EZR,1,1,1,WBK,3
F3,1,1,0,WB,2
FADD,1,1,1,WBK,3
FAF1,1,1,1,WBK,3
FAM120A,1,0,0,W,1
FBXW11,1,1,1,WBK,3
FGA,1,1,0,WB,2
FGB,1,1,0,WB,2
FGD5,1,0,0,W,1
FGG,1,1,0,WB,2
FHL2,1,1,0,WB,2
FHOD1,1,0,1,WK,2
FJX1,1,1,0,WB,2
FLII,1,0,0,W,1
FLNB,1,1,0,WB,2
FMNL3,1,0,0,W,1
FOXO4,1,1,1,WBK,3
FSCN1,1,0,1,WK,2
FUT1,1,1,0,WB,2
FXR2,1,0,0,W,1
FYN,1,1,1,WBK,3
GAB1,1,1,1,WBK,3
GIGYF2,1,0,0,W,1
GIPC1,1,0,0,W,1
GPC1,1,1,1,WBK,3
GPX1,1,1,0,WB,2
GRSF1,1,1,0,WB,2
HBD,1,1,0,WB,2
HDAC4,1,1,0,WB,2
HDAC5,1,1,1,WBK,3
HDAC7,1,1,0,WB,2
HERPUD1,1,1,0,WB,2
HGS,1,1,0,WB,2
HLX,1,1,0,WB,2
HSPB1,1,1,1,WBK,3
HTRA1,1,0,0,W,1
HYOU1,1,1,0,WB,2
ICAM1,1,1,1,WBK,3
IER5,1,0,0,W,1
IGFBP7,1,1,0,WB,2
INPP4B,1,1,0,WB,2
INPP5K,1,1,0,WB,2
IQGAP1,1,1,0,WB,2
ITCH,1,1,1,WBK,3
JAG1,1,1,1,WBK,3
KANK1,1,0,0,W,1
KATNAL2,1,0,0,W,1
KCNC3,1,1,1,WBK,3
KL,1,1,0,WB,2
LARP7,1,0,0,W,1
LDB2,1,0,0,W,1
LMAN1,1,1,0,WB,2
LRRC59,1,0,0,W,1
LRRFIP2,1,0,0,W,1
LUC7L,1,0,0,W,1
MAPKAPK2,1,1,1,WBK,3
MAPKAPK5,1,0,0,W,1
MICAL2,1,1,0,WB,2
MKNK1,1,1,0,WB,2
MMP10,1,0,0,W,1
MMP14,1,1,0,WB,2
MMP2,1,1,1,WBK,3
MMRN2,1,0,0,W,1
MOV10,1,1,0,WB,2
MYH11,1,1,0,WB,2
MYH9,1,1,0,WB,2
MYL2,1,1,0,WB,2
MYO6,1,1,1,WBK,3
"NAP1L1",1,0,0,W,1
"NAPA",1,0,1,WK,2
NCF1,1,1,1,WBK,3
NCF2,1,1,1,WBK,3
NCK1,1,1,1,WBK,3
NCL,1,1,1,WBK,3
NDRG1,1,1,0,WB,2
NEXN,1,0,0,W,1
NFATC1,1,1,1,WBK,3
NFATC2,1,1,1,WBK,3
NFKBIA,1,1,1,WBK,3
NOTCH4,1,1,0,WB,2
NOX4,1,1,0,WB,2
NR4A1,1,1,1,WBK,3
NR4A2,1,1,0,WB,2
NR4A3,1,1,1,WBK,3
NRARP,1,1,0,WB,2
NRP2,1,1,0,WB,2
NUMB,1,1,0,WB,2
OCLN,1,0,1,WK,2
OCRL,1,1,0,WB,2
P4HB,1,1,0,WB,2
PABPC1,1,1,0,WB,2
PAK1,1,1,1,WBK,3
PAK2,1,1,0,WB,2
PBK,1,0,0,W,1
PBXIP1,1,1,0,WB,2
PDE4DIP,1,1,0,WB,2
PDIA6,1,1,0,WB,2
PFN1,1,1,0,WB,2
PLA2G4A,1,1,0,WB,2
PLA2G5,1,1,0,WB,2
PLAUR,1,1,0,WB,2
PLCB3,1,1,0,WB,2
PLCG1,1,1,1,WBK,3
PLOD3,1,1,0,WB,2
PNP,1,1,1,WBK,3
PPM1G,1,0,0,W,1
PPP1CA,1,1,1,WBK,3
PPP3CA,1,1,1,WBK,3
PRDX2,1,1,0,WB,2
PRKCB,1,1,1,WBK,3
PRKCD,1,1,1,WBK,3
PRKCE,1,1,1,WBK,3
PRKCI,1,1,1,WBK,3
PRKCZ,1,1,1,WBK,3
PRKD1,1,1,0,WB,2
PRKD2,1,0,0,W,1
PRKRA,1,0,0,W,1
PRRC2C,1,0,0,W,1
PSMD11,1,1,0,WB,2
PSMD4,1,1,0,WB,2
PTK2B,1,1,1,WBK,3
PTMA,1,1,0,WB,2
PTPN11,1,1,1,WBK,3
PTPN14,1,0,0,W,1
PTPN6,1,1,1,WBK,3
PTPN9,1,1,0,WB,2
PTPRJ,1,0,0,W,1
PTPRZ1,1,1,0,WB,2
PXN,1,1,1,WBK,3
QKI,1,1,0,WB,2
RAB11A,1,1,0,WB,2
RAB37,1,0,0,W,1
RAB4A,1,1,0,WB,2
RAB5A,1,1,1,WBK,3
RACK1,1,0,1,WK,2
RAP1A,1,1,1,WBK,3
RAP1B,1,1,0,WB,2
RBM39,1,0,0,W,1
